Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Home Team Initials,Away Team Initials
1990,6/26/1990,Round of 16,Spain,1,2,Yugoslavia,Yugoslavia win after extra time ,ESP,YUG
1990,6/26/1990,Round of 16,England,1,0,Belgium,England win after extra time ,ENG,BEL
1990,6/30/1990,Quarter-finals,Yugoslavia,0,0,Argentina, win on penalties (2 - 3) ,YUG,ARG
1990,6/30/1990,Quarter-finals,Italy,1,0,Republic of Ireland, ,ITA,IRL
1990,7/1/1990,Quarter-finals,Germany,1,0,Czechoslovakia, ,GER,TCH
1990,7/1/1990,Quarter-finals,England,3,2,Cameroon,England win after extra time ,ENG,CMR
1990,7/3/1990,Semi-finals,Italy,1,1,Argentina, win on penalties (3 - 4) ,ITA,ARG
1990,7/4/1990,Semi-finals,Germany,1,1,England, win on penalties (4 - 3) ,GER,ENG
1990,7/7/1990,Third place,Italy,2,1,England, ,ITA,ENG
1990,7/8/1990,Final,Germany,1,0,Argentina, ,GER,ARG
1994,6/17/1994,Group C,Spain,2,2,Korea Republic, ,ESP,KOR
1994,6/17/1994,Group C,Germany,1,0,Bolivia, ,GER,BOL
1994,6/18/1994,Group A,USA,1,1,Switzerland, ,USA,SUI
1994,6/18/1994,Group E,Italy,0,1,Republic of Ireland, ,ITA,IRL
1994,6/18/1994,Group A,Colombia,1,3,Romania, ,COL,ROU
1994,6/19/1994,Group F,Belgium,1,0,Morocco, ,BEL,MAR
1994,6/19/1994,Group E,Norway,1,0,Mexico, ,NOR,MEX
1994,6/19/1994,Group B,Cameroon,2,2,Sweden, ,CMR,SWE
1994,6/20/1994,Group F,Netherlands,2,1,Saudi Arabia, ,NED,KSA
1994,6/20/1994,Group B,Brazil,2,0,Russia, ,BRA,RUS
1994,6/21/1994,Group D,Argentina,4,0,Greece, ,ARG,GRE
1994,6/21/1994,Group D,Nigeria,3,0,Bulgaria, ,NGA,BUL
1994,6/21/1994,Group C,Germany,1,1,Spain, ,GER,ESP
1994,6/22/1994,Group A,Romania,1,4,Switzerland, ,ROU,SUI
1994,6/22/1994,Group A,USA,2,1,Colombia, ,USA,COL
1994,6/23/1994,Group E,Italy,1,0,Norway, ,ITA,NOR
1994,6/23/1994,Group C,Korea Republic,0,0,Bolivia, ,KOR,BOL
1994,6/24/1994,Group E,Mexico,2,1,Republic of Ireland, ,MEX,IRL
1994,6/24/1994,Group B,Sweden,3,1,Russia, ,SWE,RUS
1994,6/24/1994,Group B,Brazil,3,0,Cameroon, ,BRA,CMR
1994,6/25/1994,Group F,Belgium,1,0,Netherlands, ,BEL,NED
1994,6/25/1994,Group F,Saudi Arabia,2,1,Morocco, ,KSA,MAR
1994,6/25/1994,Group D,Argentina,2,1,Nigeria, ,ARG,NGA
1994,6/26/1994,Group D,Bulgaria,4,0,Greece, ,BUL,GRE
1994,6/26/1994,Group A,USA,0,1,Romania, ,USA,ROU
1994,6/26/1994,Group A,Switzerland,0,2,Colombia, ,SUI,COL
1994,6/27/1994,Group C,Germany,3,2,Korea Republic, ,GER,KOR
1994,6/27/1994,Group C,Bolivia,1,3,Spain, ,BOL,ESP
1994,6/28/1994,Group E,Republic of Ireland,0,0,Norway, ,IRL,NOR
